date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:55:42	118/118	---MCZ	200	added ('OK')	text/plain	etag:%22961-1673856713;gz%22	https://nollyporn.com/robots.txt		(from )
20:55:44	91137/91137	---M-Z	200	added ('OK')	text/html	etag:%22846-1673741907;gz%22	https://nollyporn.com/	C:/My%20Web%20Sites/nollyporn/nollyporn.com/index.html	(from )
20:55:44	53593/53593	---M-Z	200	added ('OK')	text/css	etag:%22d159-5ed827ad-0;gz%22	https://nollyporn.com/wp-includes/css/dist/block-library/style.min.css?ver=5.4.12	C:/My%20Web%20Sites/nollyporn/nollyporn.com/wp-includes/css/dist/block-library/style.minc4ec.css	(from https://nollyporn.com/)
20:55:45	23607/23607	---MCZ	200	added ('OK')	application/rss+xml	etag:%225a71a54ecb457f44ba28de2c5b95ff53%22	https://nollyporn.com/feed/	C:/My%20Web%20Sites/nollyporn/nollyporn.com/feed/index.html	(from https://nollyporn.com/)
20:55:45	834/834	---MCZ	200	added ('OK')	application/rss+xml	etag:%222a65020f0c98b2f10fa0e92100545b89%22	https://nollyporn.com/comments/feed/	C:/My%20Web%20Sites/nollyporn/nollyporn.com/comments/feed/index.html	(from https://nollyporn.com/)
20:55:45	1322/1322	---M-Z	200	added ('OK')	text/css	etag:%2252a-5ce426c5-0;gz%22	https://nollyporn.com/wp-content/plugins/download-attachments/css/frontend.css?ver=5.4.12	C:/My%20Web%20Sites/nollyporn/nollyporn.com/wp-content/plugins/download-attachments/css/frontendc4ec.css	(from https://nollyporn.com/)
20:55:46	45687/45687	---M-Z	200	added ('OK')	text/css	etag:%22b277-5ce426c1-0;gz%22	https://nollyporn.com/wp-content/plugins/download-manager/assets/fontawesome/css/all.css?ver=5.4.12	C:/My%20Web%20Sites/nollyporn/nollyporn.com/wp-content/plugins/download-manager/assets/fontawesome/css/allc4ec.css	(from https://nollyporn.com/)
20:55:46	153002/153002	---M-Z	200	added ('OK')	text/css	etag:%22255aa-5ce426c1-0;gz%22	https://nollyporn.com/wp-content/plugins/download-manager/assets/bootstrap/css/bootstrap.css?ver=5.4.12	C:/My%20Web%20Sites/nollyporn/nollyporn.com/wp-content/plugins/download-manager/assets/bootstrap/css/bootstrapc4ec.css	(from https://nollyporn.com/)
20:55:47	142446/142446	---M-Z	200	added ('OK')	text/css	etag:%2222c6e-5ce426c1-0;gz%22	https://nollyporn.com/wp-content/plugins/download-manager/assets/css/front.css?ver=5.4.12	C:/My%20Web%20Sites/nollyporn/nollyporn.com/wp-content/plugins/download-manager/assets/css/frontc4ec.css	(from https://nollyporn.com/)
20:55:48	2472/2472	---M-Z	200	added ('OK')	text/css	etag:%229a8-5b57aee8-0;gz%22	https://nollyporn.com/wp-content/plugins/featured-video-plus/styles/frontend.css?ver=2.3.3	C:/My%20Web%20Sites/nollyporn/nollyporn.com/wp-content/plugins/featured-video-plus/styles/frontendb6db.css	(from https://nollyporn.com/)
